names,cats,desc
The Story of King Arthur,Age 6-11,"King Arthur pulled the sword from the stone, had a Round Table and went in search of the Holy Grail. This may be all the knowledge some youngsters (and adults) have of the legendary son of Uther Pendragon, but there is so much more to know.
Starting with a mysterious dream that came to an ex-soldier called Merlin, this comprehensive retelling of Arthur’s mythical life begins years before his birth.
Find out how the battles, sieges and treachery faced by his father gave rise to the evil motivations of his half-sister, Morgana; celebrate the chivalry and loyalty of Lancelot; experience the frustrations and elation of the Grail quest; and revel in a new and exciting knowledge of a British legend!
Packed with bold, imaginative illustrations, this beautifully presented hardback book runs to almost 150 pages and is organised in manageable chapters. A gre"
Belle and Sébastien: the child of the mountains,Age 6+,"Belle and Sébastien are born on the same snowy day. Sébastien, whose mother dies, is taken in by doctor Guillaume and his grandchildren. Belle, a beautiful mountain dog, is instead passed from owner to owner until she finally escapes.
When she's spotted near Sébastien's village, the villagers are convinced that Belle is a dangerous dog and they have to get rid of her. Sébastien does not like this plan, and takes it upon himself to save her. The two develop a strong friendship, with Sébastien protecting Belle from the villagers, and Belle protecting Sébastien from the many dangers of the mountain.
Belle and Sébastien is a much-loved children's classic in France from the 1960s, and has only recently been translated into English. At times the language can feel a bit antiquated, but the story still possesses a certain charm. It is a touching story of the unbreakabl"
The Tale of Kitty - In - Boots,Age 3+,"Miss Kitty is an elegant and graceful house cat, well-behaved and doted on by her owner. However, at night she sneaks out to the woods to pursue her favourite pastime: poaching!
When she goes out on her latest hunt she encounters lots of interesting characters, gets herself into a few scrapes, and ends up in quite the predicament.
Miss Kitty's story was never published in Beatrix Potter's lifetime and remained un-illustrated for 100 years. The tale is yet another great example of Potter's unique and hilarious writing style, while Quentin Blake's new yet familiar illustrations bring to life a warm and mischievous story.
This stylish yet simple book is a must read for Potter fans, or a fant"
The BFG,Age 6+,"The BFG stands for Big Friendly Giant, who unexpectedly spirits a little girl named Sophie out of bed, and into the land of the child-eating giants.  With Sophie in his top pocket, the BFG sets off to rid the world of the big, gruesome giants who guzzle up 'human beans' - the Bloodbottler, the Fleshlumpeater and all their rotsome friends.
Full of outrageous humour and plenty of jokes about bodily functions that children will love, this warm-hearted stories is one of Roald Dahl's many much-loved tales that continue to b"
First Term at Malory Towers,Age 7+,"For an archetypal school story, take the following: a heroine starting her first term at boarding school, wavering between fear and excitement; her classmates - some good, some not so good, some yet to reveal their real personalities; a school in a magical setting; its teachers - loved, mocked, respected or feared.
It's a tried and tested formula that works and we're rooting for Darrell Rivers as she learns to cope with her fiery temper and decide for herself which friends are genuine.
The psychology of the relationships in the North Tower dorm is naïve, but it's incredibly moral and one can see why Malory Towers remains popular. It's a cracking good, easy, read and 'the lon"
The Castle of Inside Out,Age 7-9,"'The Castle of Inside Out' comes into Lorina’s head the moment Mr Blair sets a school project, asking the class to write about ‘a special place’. She’s never been there before but has heard it’s just the other side of the forest.
Lorina makes her way there, and, as soon as she arrives, realises that life for the ‘green people’ forced to live outside the castle is horribly unfair. She quickly decides she has to do something about it - and sets out on an adventure to help them.
This is a timeless fantastical story about overcoming greed, power and corruption. Lorina is a brave heroine, who fights for what is right against all odds. With an accessible storyline and lots of fun characters, illustrated by the wonderful Chris Riddell, th"
The Enchanted Horse,Age 8+,"Irina's parents can't understand why she'd want a moth-eaten old rocking horse for her Christmas present. But when Irina sees the sad old toy lying in the window of a junk shop, she's determined to rescue it.

The old man in the shop tells Irina a story of a beautiful horse named Bella and insists that she take the wooden horse home. Irina's Bella comes to life and they have magical rides together in the dead of night, but the old man warns her - a horse cannot be owned. The day will come when she must join the herd of wild horses that race across the horizon.

The old man's words come true - but it doesn't mean the end of things for Irina and Bella.
A gentle story of magic and love is repackaged in this pretty gift edition, which is perfect for Christmas. Irina's story will please young fans of Michael Morpurgo and recalls the wonder of the Christmas classic, The Snowman.
It has a traditional feel and a timeless quality that could make it a future family favourite. The sparkly cover is also boun"
"Mr Mistoffelees, The Conjuring Cat",Age 5+,"With magic tricks, incredible illusions and astonishing spectacles, both old and new fans will adore meeting the conjuring cat, Mr Mistoffelees, the second of the Old Possum's illustrated picture books. Arthur Robins brings this magical cat bursting to life. A perfect starter picture book to the wondrous stories to be found in the original O"
"Quick, Let’s Get Out of Here",Age 5+,"Two former Children’s Laureates join forces for this brilliantly entertaining poetry collection for children combining Michael Rosen’s lively poems with Quentin Blake’s distinctive illustrations.
Sometimes irreverent, often touching, and always very funny, the poems in this collection explore the day-to-day realities of family life, from washing up to Christmas dinner to the trials and tribulations of bathtime. Sure to delight and entertain young readers, this is"
Arabel's Raven,Age 7+,"A new edition of a much-loved classic by the immensely popular Joan Aiken.

When Arabel’s father finds an injured raven in the road, he’s not sure what to do apart from bring him home to his animal-loving daughter Arabel. Of course, Mortimer turns the household and eventually the whole town upside down, whether he’s caught up in a robbery or accidentally ‘haunting’ a tube station.

The whole book has a touch of the surreal, which children will love, as Mortimer makes the everyday ridiculous: the family discovering him in the fridge is a great comedy scene. Full of humour and loveable, laugh-aloud characters. Charmingly illustrated by the great Quentin Blake, most famous for his il"
The Land of Green Ginger,Age 8+,"Noel Langley's pantomime-esque adventure story is reprinted in its 'much-celebrated longer text' for a new edition included in Faber's list of children's classics. 
The fate of Abu Ali, son of Aladdin, is sealed when he unexpectedly speaks his first words at one day old. That the words are 'button-nosed tortoise' single him out as the one destined to break the spell that traps a cursed magician in the body of the aforementioned tortoise, and restore him to his former shape.  
Abu Ali must journey to find the floating 'land of green ginger', but he's not the only one on a mission to catch something unattainable... Two foolish Princes, the wicked Prince Tictac Ping Foo of Persia and the wantonly wicked Prince Rubdub Ben Thud of Arabia, mistake Abu Ali's quest as a challenge for the hand of the beautiful (and rich) Silver Bud of Samarkand and set out to thwart him at every opportunity. But with a pure heart, a talking mouse and a tiny Djinni on his side, Abu Ali's noble mission cannot fail.
Neil Gaiman is a self-professed fan of this madcap story and its zany banter may well have influenced the comedy of his fairytale writing. Langley's knowing narrator will tickle any adult reading aloud, while children will marvel at the extraordinary cast of daft characters and their blundering escapades. 
The hilarious conversation pieces long to read aloud, and would make a brilliant stage play. This could be a family favourite in the truest sense, well done to Faber for tracking down the full text of the mysterious Land of Green Ginger, which was in dange"
Matilda,Age 7+,"Matilda is not yet five years old, and already she is a very unusual child. Teaching herself to read, she works her way through all the books in the children's library and then gets started on the adult section, to the amazement of the librarian. Her narrow minded parents don't notice that they have a genius in their midst - but is soon becomes clear that underestimating Matilda is a big mistake.
When she starts school at Crunchem Hall, Matilda meets the frightening and bullying headmistress, Agatha Trunchbull, and witnesses her terrible temper. Soon, she puts her very special talents to work to get the better of Miss Trunchbull and the other unpleasant grown-ups around her - as well as to help warm-hearted class teacher Miss Honey.
This modern fairy-tale with a brilliantly inspiring young heroine is one of Roald Dahl's best loved stories. Full of magic and mischief, children will love witnessing Matilda pit her strength, courage and cool intelligence against the nasty and spiteful adults in her life"
Revolting Rhymes,Age 5+,"This is an hilarious collection of some well-loved fairy tales, cleverly reinvented by Roald Dahl.
When the giant 'smells an Englishman' in Jack and the Beanstalk, the hapless youth gets in trouble from his mum for not washing more often.
The heroine of Little Red Riding Hood pulls out a pistol and shoots the wolf dead before using his fur to make herself a coat. Then she skips off to rescue a poor little pig in The Three Little Pigs.
A not-so-vulnerable Cinderella demands to go to the 'disco' at the Palace and ends up running around at midnight in her underwear!
All these terrific stories are written in verse and are gorgeously decorated by Quen"
Aristotle,Age 6+,"Witches traditionally choose the company of black cats, but Belladonna takes exception to this rule and decides to adopt a white one, calling him Aristotle.
As the mischievous Aristotle sets off on a series of incredibly perilous adventures, (he falls down a chimney, gets trapped inside a milk jug and is nearly run over by a train) his nine lives start to vanish...
The combination of King-Smith’s deep knowledge of animal behaviour and Bob Graham’s sophisticated drawings makes this story highly entertaining and ideal f"
Horrid Henry,Age 4+,"Stories about naughty characters have been told for centuries, and Horrid Henry is a modern-day rogue in the tradition of Dennis the Menace, Pippi Longstocking, Just William and My Naughty Little Sister.
The first in the hugely popular Horrid Henry series introduces us to Henry and his brother, Perfect Peter. The four stories it comprises are long enough to satisfy early readers, yet are short enough to be manageable, with plenty of laughs along the way. Tony Ross's michevious illustrations are the perfect accompaniment - and children will have great fun comparing their own behaviour to He"
Little House in the Big Woods,Age 6+,"Inside the little house live the Ingalls family: Ma, Pa, Mary, Laura and baby Carrie. Outside the little log house are the big woods with their wild animals - bears, bees, deer and wolves - but in spite of the dangers that lurk outside, within the little house, family life goes on.
This classic story is based on memories of Laura Ingalls Wilder's early childhood in Wisconsin, and beautifully evokes day-to-day life in the"
The Enchanted Wood,Age 6+,"When Joe, Beth and Frannie move into a new home, they discover a mysterious wood on their very doorstep. Soon, they discover that it's actually an Enchanted Wood, and home to a wonderful Faraway Tree.
Inside the Enchanted Wood, they make all kinds of unusual new friends, including Moonface, Silky the fairy and the hard-of-hearing Saucepan Man, and soon find themselves involved in a host of exciting adventures. Best of all is the discovery that strange new lands can be found in the clouds at the very top of the Faraway Tree itself - from the Land of Spells to the Land of Treats to the Land of Do-As-You-Please.
This delightful story from classic children's author Enid Blyton was first published in 1939 and has delighted children ever since. This new edition has been given a more modern face-lift - for example, changing the children's names (originally Joe, Bessie and Fanny) for more contemporary-sounding alternatives - but all the fun and magic of Blyton's original has been retain"
The Milly-Molly-Mandy Storybook,Age 5+,"Milly-Molly-Mandy lives with her mother, father, uncle, aunt, grandmother and grandfather in a 'nice white cottage with a thatched roof'. In each of these twenty-one stories, she sets off on an adventure, sometimes with the help of 'little-friend-Susan' or neighbour Billy Blunt.
First published in 1925, Milly-Molly-Mandy's stories now have a nostalgic charm that will appeal to parents and grandparents who will remember them from their own childhood. However, these gentle stories of activities such as giving a party or setting out on a picnic, told in simple and direct language, still offer muc"
The Cat Who Came in Off the Roof,Age 7+,"Tibble is a reporter, but he is about to be sacked because all his newspaper stories are about cats!
A young woman is chased up a tree by a dog. Tibble rescues her and discovers she was once a cat called Minou. She knows all the local cats and through them she discovers the neighbourhood's human news. Tibble has found the means to keep his job.
Soon Minou uncovers a story of major injustice, but Tibble can't print it without proof. Can the cats come up with the facts? Will Minou turn back into a cat, and does she really want to?
Written by a famous Dutch author, this is a humorous, surreal and satisfyin"
Blobheads,Age 6+,"Ever wondered what might rise out of the toilet when you lift the lid? In Billy Barnes' case it's the Blobheads, three incompetent aliens who are looking for the High Emperor of the Universe in order to save him from the evil Followers of Sandra.
Unfortunately, they wrongly identify Billy's baby brother as the Emperor, and cause mayhem in their efforts to protect him. Readers will identify with the Blobheads' shortcomings and Billy's realisation that he actually loves his annoying brother.
A comically outrageous but thought-provoking collection of four short novels in one volu"
The Grunts All at Sea,Age 6+,"The Grunts are back and as disgusting as ever! This time they have to take a POGI (that's a Person Of Great Importance) to a specific person at a specific time. Of course it would be easier if that person didn't live on an island far away. With their (stolen) son Sunny, his friend Mimi, Clip and Clop the donkeys, and Fingers the elephant, the Grunts must take their sort-of-caravan across the sea to complete this all important delivery. Along the way they meet a host of people who may not be quite who they seem, leaving Sunny caught up in another adventure, this time sillier, smellier and stranger than ever.
With his trademark wit, brilliant use of language and absurd humour, The Grunts All at Sea is another wonderfully silly episode in Philip Ardagh's Grunts series. Wildly inventive and full of bizarre characters and ridiculous twists, this is s"
The Iron Man,Age 7+,"The Iron Man is a fearsome figure, wreaking terrible destruction wherever he goes. He cannot be stopped - but it takes a child to realise that he is not simply a hostile monster, but could even be a friend. Then, when a monster from outer space threatens to lay waste to the planet and its people, it is the Iron Man who finds a way to save them.
Subtitled 'a children's story in five nights' this powerful, moving and beautifully-written fable from poet T"
The Story of the Treasure Seekers,Age 8+,"The first book from classic children's author E Nesbit, this is the much-loved story of the Bastable family. Dora, Oswald, Dicky, Alice, Noel and H.O. live in Blackheath with their widowed father, whose business is failing. Too poor to attend school, the children entertain themselves by coming up with new ideas for ways to restore the fallen fortune of the House of Bastable. But whether they are digging for buried treasure in the garden, setting up as newspaper editors or becoming bandits, their treasure-seeking exploits never work out quite as they imagined.
With one of the most brilliant narrative voices in children's fiction, The Story of the Treasure Seekers deserves a place on every family's bookshelf. Blending Edwardian charm with enough freshness and humour to ensure the story will continue to amuse and entertain new generations of readers, it is a real treat, and perfect for reading aloud. This attractive new edition from Hesperus Press comes with an introduction from former Ch"
The Story of Doctor Dolittle,Age 7-9,"Mice in the piano, rabbits in the pantry, hedgehogs in the cellar: welcome to the home of Dr Dolittle, the greatest animal doctor ever known. Animals are his whole world, and being able to speak their secret languages definitely helps with diagnosing their illnesses.
One day, he receives a message from deep within the African jungle: the monkeys are sick and they need his help. Can Dr Dolittle make it across the wild ocean and find a way to heal them? Accompanied by his band of animal friends (a crocodile, duck, parrot, pig, monkey, dog and owl), the doctor sets off on an exciting around-the-world adventure full of danger and discovery.
This classic animal story, despite being nearly a hundred years old, still entertains and delights - from the bridge-building monkeys to the dog with an incredible nose, parrot navigators to the mysterious pus"
The Best of Pippi Longstocking,Age 6+,"This bumper edition contains four stories and illustrations from the award-winning Tony Ross. Translated from Swedish and previously unpublished, ‘Pippi Celebrates Christmas’ focuses on the joy of giving, and ‘Pippi Longstocking’, ‘Pippi in the South Seas’ and ‘Pippi Goes Abroad’ all follow Pippi on her amazing adventures.
Starting school, arranging a picnic, encountering thieves, attending a tea party and travelling to Canny Canny Island – it’s all in a day’s work for Pippi and her friends Tommy and Anika.

Pippi is independent, funny and compassionate. She has long red pigtails, a hoard of gold and lives in Villekulla cottage with a horse and a monkey! In these enduring and exciting tales, Pippi is an empowering role model to all young girls; he"
Animal Tales,Age 6+,"Jackson the rabbit runs away to sea and ends up in Australia and the ancestor of millions. The 'cat lady' lives to look after cats, believing some of them are reincarnated friends, family or even royalty. Hezekiah the lonely camel decides to leave the zoo and look for some new friends in the countryside.  Will someone buy a cheerful little mongrel with a big voice - or are his days numbered?
This anthology brings together five charming and humorous animal stories from much-loved author Dick King-Smith, the author of Babe. Accompanied with characterful drawings from a variety of different illustrators, this is an ideal short story "
No Kiss For Mother,Age 7+,"Piper Paw is one of the toughest tom cats in school with a sharp claws and even sharper insults. But no matter how tough his reputation on the streets, he somehow can't avoid a kiss from his doting mother. Whether in public or private, Piper can’t stand to be kissed and fussed over and it’s high time his mother found out.

This reissued classic combines stunning illustrations with razor-sharp insight into family dynamics. Atmospheric and laced with dark humour, No Kiss for Mother draws on the timeless theme of growing up: Tomi Ungerer skilfully depicts the challenges for both children and parents in confronting a child’s growing independence. This book is a gem waiting to be discove"
Mister Skip,Age 7+,"In this modern fantasy/fairytale Jackie and her mum live on an estate surrounded by tower blocks, but dream of a better life in the countryside.
Although Jackie looks after Gran's tatty old donkey, Barnaby, she longs to have her own horse like the local boys.
When she finds an old broken gnome in a skip, and lovingly restores him as a birthday present for her mum, her fortunes start to change. Naming the the gnome Mr. Skip, Jackie confides her fears, hopes and dreams to him - and is stunned when one day he replies!
Mr. Skip has a way of making things happen, and soon the lives of Jackie and her family are transformed beyond their wildest dreams. Short chapters and delightful illustrations make this book an ideal "
The Wind in the Willows,Age 6+,"Leaving his spring-cleaning behind him, timid Mole ventures beyond the familiar comfort of his burrow and makes a new friend in Ratty, who lives by the riverbank. Together they spend long summer days enjoying the delights of the river; but when they meet the reckless Mr Toad, they find themselves caught up in a series of strange adventures in order to help Toad out of trouble, and return him to the safety of Toad Hall.
In this sumptuous new gift edition, award-winning illustrator David Roberts puts his own distinctive spin on a much-loved classic. Roberts' atmospheric, richly-coloured illustrations perfectly capture the timeless, wistful feel of Kenneth Graeme's text, and his animal characters are appealingly quirky and eccentric. A beautiful new edition of a favourite boo"
Farm Boy,Age 7+,"""There's an old green Fordson tractor in the back of Grandpa's barn, always covered in cornsacks."" This tractor has a story - a story that unfolds when the old man takes his grandson into his confidence and discloses his secret.
Rich with historical detail and beautifully illustrated, this is a touching and inspirational portrayal"
The Thousand Nights and One Night,Age 7-11,"In an ancient Arabic land, magic is commonplace, animals talk and genies rub shoulders with men. Here, wicked sorcerors wreak havoc before getting their just desserts, treasure is lost and found, as is love: within these tales, there are endless adventures to be had, and many lessons to learn.
Enslaved by the vengeful King Shahryar, Scheherazade invents the stories in The Thousand Nights and One Night to fascinate the king and avoid her own death. In doing so, she creates a wealth of fascinating, magical stories for us too.
The Thousand Nights and One Night are full of classic tales of intrigue, trickery, love and magic, and this beautiful collection of eight tales contains Ali Baba and the Forty Thieves and Sinbad the Sailor, as well as lesser known tales such as The Fisherman and the Genie and The Birds, The Beasts and the Carpenter.
Retold by David Walser with spellbinding full-page illustrations by the inimitable Jan Pienkowski, this is a magical gem that's perfect for eight- to ten-year-olds that are keen to discove"
The Adventures of Tintin,Age 7+,"Resourceful junior reporter Tintin embarks on a series of exciting international adventures, accompanied by his faithful dog Snowy, in this favourite series. Be sure to look out for other familiar characters such as Captain Haddock, the disaster-prone Thomson twins, and inventor Professor Calculus. Told in zippy comic strip-style, these entertaining, action-packed stories offer much to appeal to young readers. The meticulously-drawn pictures tell much of the story, in combination with a simple and engaging text.
This latest set of collections sees the full range of Hergé's classic made readily availab"
Shola and the Lions,Age 6-11,"Shola is a small white dog who lives with her devoted owner, Senor Grogo. When Senor Grogo's friend returns from Africa, Shola enjoys his stories about his trip, but most of all, she loves hearing about the strong, powerful and noble lions. Convinced she is really a lioness, Shola decides to prove her true heritage.
When she attacks a flock of pigeons, the old lady feeding them calls her a wild beast- Shola is delighted! But lions hunt for their food, so Shola's biggest test comes when she has to reject Senor Grogo's scrumptious supper and set off in search of prey…
A charming story about an ambitious little dog convinced that s"
Higglety Pigglety Pop! or There Must Be More To Life,Age 6+,"Jennie is bored. Bored, because she has everything a dog needs. So she packs her black leather bag with gold buckles and sets off to have an experience…Then she can be the leading lady for The World Mother Goose Company.

Jennie's first job is nurse to a baby who only wants to SHOUT. But Jennie will be eaten by a lion if she can't make Baby eat instead - so Jennie sets off for Castle Yonder in search of Baby's parents. On the way, she loses everything. Now she has had so many experiences, Jennie can be the leading lady!
Originally published in 1967, this charmingly quirky, slightly surreal story is from the author of Where the Wild Things Are - and illustrated with Maurice Send"
The Four Branches of the Mabinogi,Age 7-11,"Ancient feuds, giants, magic spells, dramatic landscapes, revenge, betrayal and a plethora of kings, princesses and supernatural happenings teem onto every page of this prize-winning book of legends.
Revel in the stories of: Pwyll, a cheerful but foolhardy prince; Branwen, married to a foreign king in order to keep peace between nations; Manawydan, whose happiness is blighted by magic spells and a desire for revenge; and Blodeuwedd, who was conjured out of wild flowers by a well-meaning wizard.
This lavishly illustrated retelling of the four character-led branches of the Mabinogi successfully simplifies some very complex tales and is a great introduction to the ancient storytelling heritage of Wales.
The inclusion of Mabinogi maps and a useful guide to pronunciation for non-Welsh speakers add to the accessibility of this story collection and e"
The Merchant of Venice: A Shakespeare Story,Age 8+,"As part of Orchard Classics, Matthews and Ross are converting Shakespeare's best known plays to short novels to introduce KS1 and early (or reluctant) KS2 readers to the bare bones of the plots.
Each slim volume is prefaced by the cast list which, like the main text, is enlivened by Ross's illustrations. Short essays placed at the end put the key points of the play's argument into context and include basic information on Elizabethan theatre, explaining about the Globe.
Shakespeare's dialogue is greatly abridged, but key passages are kept, and the well-known sayings (like 'all that glistens is not gold…') remain. Characterisation is simplified but accurate, and overall young reade"
My Naughty Little Sister,Age 5+,"This affectionate portrait of family life is the story of a naughty three-year-old sister who is obstinate, inquisitive and full of mischief. She tries to cut off the cat's tail, eats all the trifle at Harry's party and gets up to all kinds of other antics, involving a wobbly tooth, a visit to the doctor, and a traumatic encounter with Father Christmas.
First published in the 1950s, Dorothy Edwards' much-loved My Naughty Little Sister books were inspired by memories of her own sister, and will particularly resonate with older siblings. Shirley Hughes' illustrations make a pitch-perfect accompa"
Hair in Funny Places,Age 7+,"Who else but Babette Cole would have the audacity to tackle puberty in a picture book - and the comic genius to make it work? This hilarious, ingenious book is formed of a conversation between a small girl and her teddy bear about 'Mr and Mrs Hormone' who 'live inside you' and 'mix the potions that turn children into adults'.
Hair in Funny Places is fifth in the 'family dilemmas' series that began with Mummy Laid an Egg. Typical of Cole's no-holds-barred approach to bodily issues, over the course of the book she touches briefly on everything from menstruation to acne, body odour, and even erections.
The illustrations are silly but show teenage girls and boys in their various stages of development in appropriate ways, and while Cole's occasionally gleeful depiction of naked bodies might raise a few adult eyebrows, children will be sure to laugh out loud. Hair in Funny Places is an excellent basic introduction for young, pre-pubescent boys and girls alike, which does much to normalise the experience and pave the way for future discussions. How much you, as a parent, seek to exp"
Buried Alive!,Age 8+,"In this hugely enjoyable sequel to Cliffhanger, only child Tim and his fun friend Biscuits join Tim's rather strait-laced parents for a holiday in Wales.
Everything goes well until until two bullies, known as Prickle-Head and Pinch-Face, decide to spoil the boys' fun. Hand-written entries from Tim and Biscuits' diaries open each chapter, charting the mounting tension as their relaxing holiday turns into a lively adventure, and Tim tries to avoid the bullies, cope with his over-protective mum, and keep the peace between his girlfriend - the extrovert Kelly - and Biscuits.
This humorous tale sensitively highlights issu"
Cliffhanger,Age 7+,"A salutary and funny tale about not giving up from Jacqueline Wilson. From climbing and abseiling to canoeing and a Crazy Bucket Race, the adventure holiday promises to be full of action. There's just one problem as far as Tim is concerned: he is hopeless at sports of any kind. Chapters "
Shahnameh: The Persian Book of Kings,Age 7+,"Shahnameh is an ancient Persian poem comprising a collection of stories, myths and legends which have been retold for over a thousand years. From the wicked Zahnak who feeds the brains of his victims to his snakes to the seven trials of the famous hero Rustam, these tales are full of kings and princesses, magical animals and demons and together form a great classic of Persian literature.
Elizabeth Laird's skilful retelling of these fabulous stories is accompanied by the most beautiful illustrations by Shirin Adl, including decorative borders on every page. There is also a h"
A Little Princess,Age 7+,"Without her beloved father and miles from home, it is very hard for Sara Crewe to like her new life at boarding school. Luckily Sara is always dreaming up wonderful things and her power of telling stories wins her lots of friends. When a letter arrives that brings disastrous news, the wicked headmistress Miss Minchin forces Sara to become a servant. Her lovely clothes and toys are taken away from her. Can her imagination help he"
Fungus the Bogeyman,Age 5+,"This sophisticated cartoon-strip picture book for older children follows one day in the life of Fungus, a morose bogeyman whose sole reason for being is scaring humans.
Yet it turns out that even bogeymen aren't immune from a dose of existential angst, as Fungus spends his day wondering what his life is really all for.
Briggs depicts the slimy, smelly details of life in Bogeydom in stunning detail. It's an upside-down world with more than a trace of Punk perversity left over from its first publication in the 1970s. Fungus, with his bright purple Mohican haircut, breaks all the rules.
But for those of us who live Up Top, the density of world-building and wit of the wordplay make the book as clever and fun today as it ever was.
Briggs will have you chortling away to Hamlet and Dostoyevsky allusions while your kids giggle at the poo jokes. Fungus the Bogeyman is Briggs at his "
Even More Nonsense,Age 5+,"Following the success of their first Book of Nonsense, Michael Rosen and Clare Mackie have joined forces once again to create this spectacular collection of humorous poems which was shortlisted for the Greenaway Prize.
Young and older readers alike will be greatly entertained by the wonderful poems, with titles which range from The Smeenge and Plonky Wonky Doodah to Windscreen Wipers and The Cat Went Out.
The careful illustrations by Clare Mackie are an integral part of the book, bringing the weird and wonderful characters to life, including, believe it or not, The"
Paddington Here and Now,Age 6+,"The small bear from Darkest Peru still keeps marmalade sandwiches under his hat (for use in emergencies), still lives with the Brown family, is still friends with Mr Gruber and still has an amazing knack for getting himself into trouble.
This beautifully presented, small format hardback, published to celebrate Paddington's 50th anniversary, contains seven brand new tales featuring everyone's favourite bear.
This time, among other adventures, Paddington has a close encounter with a policeman, explores the benefits of anti-burglar paint and has an unfortunate experience with a doorknob while trick or treating.
Pen and ink illustrations complement Paddington's naiv"
Willy the Dreamer,Age 7+,"Willy dreams of being a film star, a sumo wrestler, or even a ballet dancer. Willy's dreamland is a gallery of amazing and magical pictures, each one magnificently executed and packed with bananas and slyly surreal details which will intrigue and delight.
The pictures pay homage to famous paintings by the likes of Dali and Magritte, and ma"
Changes,Age 5+,"One morning Joseph’s dad goes out to fetch Joseph’s mother. Before leaving he says that things are going to change.

Soon Joseph notices the kettle has grown ears and a tail and is turning into a cat. The slipper in his bedroom grows a bird’s wing. The bathroom washbasin has a nose, a mouth and a man’s leg. In the front room wild animals are emerging from the furniture.

Was this what dad had meant? Was everything going to change? Joseph goes back to his room and soon his mum and dad come home from the hospital with his new baby sister.

Anthony Browne brings his distinctive illustrations and unique perspective to the s"
Amazing Grace,Age 5+,"Grace loves to act out stories. Sometimes she plays the leading part, sometimes she is 'a cast of thousands.' When her school decides to perform Peter Pan, Grace is longing to play Peter, but her classmates say that Peter was a boy, and besides, he wasn't black... But Grace's Ma and Nana tell her she can be anything she wants if she puts her mind to it...
This classic story clearly communicates an inspiring message that anything is possible. A warm-hearte"
Peter Pan in Scarlet,Age 6+,"Geraldine McCaughrean's much anticipated sequel to Peter Pan finds Wendy and the lost boys now grown-up and leading respectable lives in London. However, the group of friends find themselves increasingly transported back to Neverland in their dreams, waking to find daggers and coils of rope in their beds.
The ever-sensible Wendy deduces that all is not well in Neverland and feels they must return and find Peter Pan. With the help of Fireflyer, a fairy they capture in Hyde Park, the group fly back to Neverland and discover that although Peter is as arrogant as ever, other things have changed…
McCaughrean's style captures the playful tone of J.M Barrie well and many of the phrases woven into the text are a delight. This fairly lengthy book w"
War Game,Age 8+,"This simple yet haunting book tells the story of the First World War from the point of view of the writer’s uncles who lost their lives in the conflict.
Foreman weaves what is known about his relatives' experiences with historical narrative to explore the fragile truce and Christmas Day football match which interrupted the War in 1914.
The story follows the celebratory mood of joining up for the 'Great War', to the disillusionment of the trenches and the devastating conclusion of his uncles' 'adventure'.

Foreman takes a well-known part of history and strips away layers to help us see it from a new perspective.
This is a remarkably subtle book where the author’s light touch allows the events to speak for themselves. Subtle watercolour images are cleverly juxtaposed with propaganda posters of the time making the book a wonderful starting point for history projects. A stunning wo"
The Iliad and The Odyssey,Age 5+,"Marcia Williams’s brilliant wheeze of depicting classic myths and legends in humorous comic-strip format has introduced to very young readers some of the most famous stories, in an accessible and amusing way.
The tales are told in the simplest way possible, in bite-size chunks, but what is really clever is the way the accompanying drawings not only illustrate the words, but also embellish the story.
This is particularly effective when Williams uses speech bubbles, adding an additional layer of entertainment and humour to the books. It also allows her to include as a much of the story as she can without putting off her young audience. In addition, the illustrations are wonderfully lively, colourful and packed with little details."
The Queen's Nose,Age 7+,"Harmony's Uncle Ginger sends her on a treasure trail - which ends in finding a 50p piece. But this is no ordinary coin - in fact, when you rub the queen's nose, your wishes will be answered.
Favourite author Dick King-Smith weaves a wonderfully magical and exciti"
A Bear Called Paddington,Age 6+,"Paddington, the brown bear from darkest Peru, is found by the Brown family on Paddington Station with his hat, duffel coat and marmalade sandwiches.
Paddington is a decidedly loveable eccentric and his various sticky scrapes will strike chords of recognition with any child. Whilst his intentions are always honourable, his over-literal interpretation of situations means that 'things' inevitably happen, whether at birthday parties or on visits to the theatre or seaside.
With a blend of humour, theatricality and clear prose style, each chapter forms a stand-alone story, perfect for newly confident readers. First published in 195"
Flat Stanley,Age 5+,"Stanley Lambchop wakes up one morning to find a notice-board has dropped on him in the night, leaving him happy and healthy, but only half an inch thick. It's a little unusual, but he finds he can fly like a kite, be sent on holiday through the post and can use his special skills to foil a burglary at the local art gallery. Still, he's glad when his brother Arthur has a bright idea to help bring him back to his normal shape.
This inventive story is full of wit and humour, and is sure to intrigue young readers. Originally published in 1964, Jeff Brown's ingenious tale has since become a well-established favourite"
Who Will Comfort Toffle?,Age 5-9,"Tove Jansson, best known for her Moomin books, had a unique and special way of introducing imaginative characters to young readers. In this book, first published in 1960, we meet Toffle, a vulnerable, lonely and sad creature who cannot get over his terrible complexes and worries.
The book's marvellous illustrations, particularly the black and white drawings, give life and shape to characters, plants and objects in the most memorable way. The colour page-spreads appear simplistic at first, but are actually composed of a multitude of atmospheric images. Originally written as a poem, the newly translated edition has managed to r"
